,,capex,capex,capex,capex
year,,2021,2030,2040,2050
region,scenario,,,,
BRN,high,2700.045455,1465.3599999999997,1135.84,806.3199999999999
BRN,low,1205.9972729999997,654.51,507.33,360.1499999999999
BRN,medium,1656.1818180000002,898.84,696.71,494.59
