,,lcoe,lcoe,lcoe,lcoe
year,,2021,2030,2040,2050
region,scenario,,,,
BRN,high,0.22016501951242257,0.11948725248135639,0.09261778734128367,0.0657483222012113
BRN,low,0.09833849746873002,0.05336954852157307,0.041368310723212356,0.029367072924851554
BRN,medium,0.13504709767046827,0.07329251652859521,0.05681058830341044,0.040329475490496446
