region,group,capacity
MYS,0,10.0278
MYS,1,10.0264
MYS,2,10.0264
MYS,3,10.0264
MYS,4,10.0264
MYS,5,10.0264
MYS,6,10.0264
MYS,7,10.0264
MYS,8,10.0264
MYS,9,10.0264
