,,,lcoe,lcoe,lcoe,lcoe
year,,,2021,2030,2040,2050
region,scenario,group,,,,
MYS,high,0,0.1393066973075767,0.09239500493734276,0.08117857703450629,0.06997830846199486
MYS,high,1,0.17028048366513635,0.1129383327079855,0.09922801722994924,0.085537453986634
MYS,high,2,0.19163624535841658,0.1271025168084431,0.11167271930999763,0.09626515127683348
MYS,high,3,0.21650898398402163,0.14359933176805725,0.12616687908553034,0.10875954106194366
MYS,high,4,0.24165246973288376,0.16027571944221852,0.14081881208106786,0.12138993597870068
MYS,high,5,0.2669691282049043,0.17706696372356753,0.1555716584965521,0.13410732121589578
MYS,high,6,0.2999154324783807,0.19891856170735883,0.17477054951298,0.1506573269779437
MYS,high,7,0.34876926377815387,0.23132080848652745,0.20323927775253722,0.17519820363585162
MYS,high,8,0.4303262788657639,0.28541340387020026,0.2507652227354684,0.216166958687443
MYS,high,9,0.6138119740690152,0.40711007776955493,0.3576883494096972,0.30833782215244326
MYS,low,0,0.07594064207209414,0.05727409664491269,0.05166031591773816,0.04591909956894193
MYS,low,1,0.09282546720152646,0.07000855713811639,0.06314659489302137,0.05612886268348751
MYS,low,2,0.10446719215998651,0.07878869465330052,0.07106613800947906,0.06316827547926347
MYS,low,3,0.11802613640190891,0.0890147904792691,0.0802899123144651,0.07136697506496734
MYS,low,4,0.13173267376589187,0.09935220038563536,0.08961409013336498,0.0796549199228027
MYS,low,5,0.14553361325152286,0.1097608079549556,0.0990024871015177,0.08799994700045097
MYS,low,6,0.16349372248378974,0.12330624296649378,0.11122025207610375,0.09885990316625005
MYS,low,7,0.19012554556401975,0.14339184623910323,0.12933714385170875,0.11496339271223838
MYS,low,8,0.23458494493921073,0.17692292876764065,0.15958164211463854,0.14184669960799232
MYS,low,9,0.334609005333192,0.25236063307863604,0.22762524061914588,0.20232834241739628
MYS,medium,0,0.09523400324788084,0.07699583747860657,0.06764881422624196,0.05831525706810071
MYS,medium,1,0.11640856073568084,0.09411527729432839,0.08269001439596282,0.07128121167562076
MYS,medium,2,0.13100796419413865,0.10591876404943348,0.0930605994673961,0.08022095941997401
MYS,medium,3,0.14801167267934276,0.11966610985461468,0.10513906595250924,0.09063295091049973
MYS,medium,4,0.16520047156518122,0.1335630995886468,0.11734901012101925,0.10115828001076373
MYS,medium,5,0.1825076562285725,0.14755580316203615,0.12964304880619054,0.11175610104474744
MYS,medium,6,0.20503068282260795,0.16576546815581886,0.14564212466050275,0.12554777251700733
MYS,medium,7,0.2384285453704632,0.19276734048260133,0.16936606487094177,0.14599850307102905
MYS,medium,8,0.2941832304635422,0.23784450332037194,0.2089710190414264,0.18013913229031198
MYS,medium,9,0.419619247759565,0.3392583982770915,0.29807362464387877,0.25694818519946466
