,,,capex,capex,capex,capex
year,,,2021,2030,2040,2050
region,scenario,group,,,,
MYS,high,0,3698.9769282548914,2453.3421447406513,2155.5150565105973,1858.1170430580137
MYS,high,1,3818.9045010787477,2532.883967907852,2225.400782733055,1918.360583722526
MYS,high,2,3927.8833755036026,2605.164079597833,2288.9063436545357,1973.104235232009
MYS,high,3,4445.188854736256,2948.2663369302186,2590.357196397922,2232.963689905853
MYS,high,4,4917.534525858171,3261.5490538344598,2865.6084958058204,2470.238363079166
MYS,high,5,5041.175642661414,3343.5538807257826,2937.6582257833056,2532.3473382935285
MYS,high,6,5070.147869896777,3362.7696767370135,2954.541291895315,2546.9010352334235
MYS,high,7,5071.391746503397,3363.5946764493847,2955.266139550768,2547.5258751194374
MYS,high,8,5071.469030248827,3363.6459348036387,2955.311175321506,2547.5646972714385
MYS,high,9,5070.387057812749,3362.928317844039,2954.680674531166,2547.021187143477
MYS,low,0,2016.433440535361,1520.7851895915812,1371.7238322304374,1219.2787077334476
MYS,low,1,2081.8098873143103,1570.0918168322648,1416.1976186243364,1258.809945383845
MYS,low,2,2141.2178400981475,1614.8970322791465,1456.6112038284357,1294.7322081489513
MYS,low,3,2423.2179951481494,1827.5803029694255,1648.4481004000154,1465.2495075143872
MYS,low,4,2680.709086662545,2021.7789462542257,1823.6121597324204,1620.9468883469071
MYS,low,5,2748.109907858065,2072.6123477340902,1869.4630719854188,1661.7022063828751
MYS,low,6,2763.903617572241,2084.5238938030566,1880.2070953579516,1671.2522037115575
MYS,low,7,2764.5816954392126,2085.0352971336856,1880.6683729540966,1671.6622176940512
MYS,low,8,2764.6238253393803,2085.067071318203,1880.6970327585564,1671.6876924204653
MYS,low,9,2764.0340067370557,2084.622232734925,1880.2957954961514,1671.3310462506556
MYS,medium,0,2528.7253779446364,2044.4517881027432,1796.262547910566,1548.430869650992
MYS,medium,1,2610.711262906304,2110.7366407671734,1854.5006531232357,1598.6338202192626
MYS,medium,2,2685.212307590555,2170.9700671995292,1907.4219539152498,1644.2535298233447
MYS,medium,3,3038.8569825518443,2456.8886150908966,2158.6309979821976,1860.8030754458962
MYS,medium,4,3361.765859491233,2717.957545948829,2388.0070809261224,2058.5319698124536
MYS,medium,5,3446.2904282792165,2786.294901718934,2448.048522601208,2110.2894491722154
MYS,medium,6,3466.096663269756,2802.3080650680195,2462.117744367605,2122.417529958854
MYS,medium,7,3466.947012542865,2802.995564828606,2462.721784080757,2122.938229864017
MYS,medium,8,3466.9998458998048,2803.0382801238384,2462.7593138897205,2122.9705816573523
MYS,medium,9,3466.260178902572,2802.440265990597,2462.233896564197,2122.5176565505885
