Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,Period,Transport_Time
0,RE,0,,0,96,1,
1,RE,0,,0,96,1,
2,CG,0,,0,96,1,
3,BESS,0,,0,96,1,
4,H2_Storage,0,,0,96,1,
5,EL_Demand,0,,0,96,1,
6,HTH_Demand,0,,0,96,1,
7,H2_to_HTH,0,,0,96,1,
8,EL_to_HTH,0,,0,96,1,
9,RE,1,,0,96,1,
10,RE,1,,0,96,1,
11,CG,1,,0,96,1,
12,BESS,1,,0,96,1,
13,H2_Storage,1,,0,96,1,
14,EL_Demand,1,,0,96,1,
15,HTH_Demand,1,,0,96,1,
16,H2_to_HTH,1,,0,96,1,
17,EL_to_HTH,1,,0,96,1,
18,RE,2,,0,96,1,
19,RE,2,,0,96,1,
20,CG,2,,0,96,1,
21,BESS,2,,0,96,1,
22,H2_Storage,2,,0,96,1,
23,EL_Demand,2,,0,96,1,
24,HTH_Demand,2,,0,96,1,
25,H2_to_HTH,2,,0,96,1,
26,EL_to_HTH,2,,0,96,1,
27,EL_Transport,0,1,0,96,1,0
28,EL_Transport,0,2,0,96,1,0
29,EL_Transport,1,0,0,96,1,0
30,EL_Transport,1,2,0,96,1,0
31,EL_Transport,2,0,0,96,1,0
32,EL_Transport,2,1,0,96,1,0
33,H2_Transport,0,1,0,96,1,10
34,H2_Transport,0,2,0,96,1,10
35,H2_Transport,1,0,0,96,1,10
36,H2_Transport,1,2,0,96,1,10
37,H2_Transport,2,0,0,96,1,10
38,H2_Transport,2,1,0,96,1,10
