,,capex,capex,capex,capex
year,,2021,2030,2040,2050
region,scenario,,,,
MYS,high,1959.8300000000002,883.9999999999999,697.9999999999999,510.0
MYS,low,576.6699999999998,360.0,268.0,174.99999999999997
MYS,medium,856.51,621.9999999999999,482.0,342.0
