,local_time,electricity,wind_speed
2019-01-01 00:00:00,2019-01-01 02:00:00+02:00,0.074,4.598
2019-01-01 01:00:00,2019-01-01 03:00:00+02:00,0.155,5.789
2019-01-01 02:00:00,2019-01-01 04:00:00+02:00,0.20500000000000002,6.36
2019-01-01 03:00:00,2019-01-01 05:00:00+02:00,0.191,6.205
2019-01-01 04:00:00,2019-01-01 06:00:00+02:00,0.125,5.411
2019-01-01 05:00:00,2019-01-01 07:00:00+02:00,0.079,4.698
2019-01-01 06:00:00,2019-01-01 08:00:00+02:00,0.074,4.596
2019-01-01 07:00:00,2019-01-01 09:00:00+02:00,0.055,4.224
2019-01-01 08:00:00,2019-01-01 10:00:00+02:00,0.034,3.717
2019-01-01 09:00:00,2019-01-01 11:00:00+02:00,0.02,3.293
2019-01-01 10:00:00,2019-01-01 12:00:00+02:00,0.016,3.138
2019-01-01 11:00:00,2019-01-01 13:00:00+02:00,0.025,3.456
2019-01-01 12:00:00,2019-01-01 14:00:00+02:00,0.045,3.991
2019-01-01 13:00:00,2019-01-01 15:00:00+02:00,0.058,4.293
2019-01-01 14:00:00,2019-01-01 16:00:00+02:00,0.069,4.502
2019-01-01 15:00:00,2019-01-01 17:00:00+02:00,0.06,4.336
2019-01-01 16:00:00,2019-01-01 18:00:00+02:00,0.047,4.036
2019-01-01 17:00:00,2019-01-01 19:00:00+02:00,0.044,3.99
2019-01-01 18:00:00,2019-01-01 20:00:00+02:00,0.033,3.682
2019-01-01 19:00:00,2019-01-01 21:00:00+02:00,0.019,3.224
2019-01-01 20:00:00,2019-01-01 22:00:00+02:00,0.009000000000000001,2.768
2019-01-01 21:00:00,2019-01-01 23:00:00+02:00,0.004,2.443
2019-01-01 22:00:00,2019-01-02 00:00:00+02:00,0.002,2.17
2019-01-01 23:00:00,2019-01-02 01:00:00+02:00,0.002,2.147
2019-01-02 00:00:00,2019-01-02 02:00:00+02:00,0.009000000000000001,2.766
2019-01-02 01:00:00,2019-01-02 03:00:00+02:00,0.027,3.517
2019-01-02 02:00:00,2019-01-02 04:00:00+02:00,0.042,3.929
2019-01-02 03:00:00,2019-01-02 05:00:00+02:00,0.031,3.6350000000000002
2019-01-02 04:00:00,2019-01-02 06:00:00+02:00,0.008,2.742
2019-01-02 05:00:00,2019-01-02 07:00:00+02:00,0.002,2.199
2019-01-02 06:00:00,2019-01-02 08:00:00+02:00,0.0,1.084
2019-01-02 07:00:00,2019-01-02 09:00:00+02:00,0.0,0.0
2019-01-02 08:00:00,2019-01-02 10:00:00+02:00,0.0,0.43
2019-01-02 09:00:00,2019-01-02 11:00:00+02:00,0.0,0.0
2019-01-02 10:00:00,2019-01-02 12:00:00+02:00,0.0,0.0
2019-01-02 11:00:00,2019-01-02 13:00:00+02:00,0.0,0.0
2019-01-02 12:00:00,2019-01-02 14:00:00+02:00,0.0,0.0
2019-01-02 13:00:00,2019-01-02 15:00:00+02:00,0.0,0.267
2019-01-02 14:00:00,2019-01-02 16:00:00+02:00,0.0,0.28600000000000003
2019-01-02 15:00:00,2019-01-02 17:00:00+02:00,0.0,0.99
2019-01-02 16:00:00,2019-01-02 18:00:00+02:00,0.004,2.391
2019-01-02 17:00:00,2019-01-02 19:00:00+02:00,0.056,4.259
2019-01-02 18:00:00,2019-01-02 20:00:00+02:00,0.10400000000000001,5.098
2019-01-02 19:00:00,2019-01-02 21:00:00+02:00,0.092,4.918
2019-01-02 20:00:00,2019-01-02 22:00:00+02:00,0.068,4.486
2019-01-02 21:00:00,2019-01-02 23:00:00+02:00,0.113,5.244
2019-01-02 22:00:00,2019-01-03 00:00:00+02:00,0.232,6.634
2019-01-02 23:00:00,2019-01-03 01:00:00+02:00,0.394,8.024
2019-01-03 00:00:00,2019-01-03 02:00:00+02:00,0.596,9.617
2019-01-03 01:00:00,2019-01-03 03:00:00+02:00,0.621,9.825
2019-01-03 02:00:00,2019-01-03 04:00:00+02:00,0.608,9.717
2019-01-03 03:00:00,2019-01-03 05:00:00+02:00,0.632,9.914
2019-01-03 04:00:00,2019-01-03 06:00:00+02:00,0.631,9.899
2019-01-03 05:00:00,2019-01-03 07:00:00+02:00,0.647,10.05
2019-01-03 06:00:00,2019-01-03 08:00:00+02:00,0.518,8.991
2019-01-03 07:00:00,2019-01-03 09:00:00+02:00,0.281,7.081
2019-01-03 08:00:00,2019-01-03 10:00:00+02:00,0.128,5.442
2019-01-03 09:00:00,2019-01-03 11:00:00+02:00,0.059000000000000004,4.317
2019-01-03 10:00:00,2019-01-03 12:00:00+02:00,0.026000000000000002,3.467
2019-01-03 11:00:00,2019-01-03 13:00:00+02:00,0.01,2.851
2019-01-03 12:00:00,2019-01-03 14:00:00+02:00,0.004,2.435
2019-01-03 13:00:00,2019-01-03 15:00:00+02:00,0.002,2.157
2019-01-03 14:00:00,2019-01-03 16:00:00+02:00,0.002,2.084
2019-01-03 15:00:00,2019-01-03 17:00:00+02:00,0.004,2.389
2019-01-03 16:00:00,2019-01-03 18:00:00+02:00,0.017,3.155
2019-01-03 17:00:00,2019-01-03 19:00:00+02:00,0.057,4.274
2019-01-03 18:00:00,2019-01-03 20:00:00+02:00,0.135,5.53
2019-01-03 19:00:00,2019-01-03 21:00:00+02:00,0.261,6.907
2019-01-03 20:00:00,2019-01-03 22:00:00+02:00,0.353,7.697
2019-01-03 21:00:00,2019-01-03 23:00:00+02:00,0.337,7.569
2019-01-03 22:00:00,2019-01-04 00:00:00+02:00,0.269,6.975
2019-01-03 23:00:00,2019-01-04 01:00:00+02:00,0.21,6.408
2019-01-04 00:00:00,2019-01-04 02:00:00+02:00,0.188,6.166
2019-01-04 01:00:00,2019-01-04 03:00:00+02:00,0.18,6.081
2019-01-04 02:00:00,2019-01-04 04:00:00+02:00,0.17200000000000001,5.986
2019-01-04 03:00:00,2019-01-04 05:00:00+02:00,0.145,5.669
2019-01-04 04:00:00,2019-01-04 06:00:00+02:00,0.158,5.833
2019-01-04 05:00:00,2019-01-04 07:00:00+02:00,0.11900000000000001,5.316
2019-01-04 06:00:00,2019-01-04 08:00:00+02:00,0.074,4.599
2019-01-04 07:00:00,2019-01-04 09:00:00+02:00,0.054,4.199
2019-01-04 08:00:00,2019-01-04 10:00:00+02:00,0.055,4.22
2019-01-04 09:00:00,2019-01-04 11:00:00+02:00,0.063,4.392
