country_1,country_2,country_3,country_4,emissions,cost,marginal_abatement_cost,average_abatement_cost
BN,,,,4.480923935222426,0.2974314332413758,-16.064889977483546,-16.064889977483546
BN,,,,3.9596387227296383,0.29963975669675985,4.236305581782886,-12.055957421043889
BN,,,,3.3695194602140583,0.30786804235248966,13.943428351506432,-7.305740265818022
BN,,,,3.2996985630027,0.30920166610999705,19.100639074721613,-6.7469912845220525
BN,,,,2.6397632407053693,0.3271961347345522,27.267018473740453,-1.0780566687271569
BN,,,,2.2463718015957292,0.3414375127467126,36.201545321862525,2.2909548694691306
BN,,,,1.9798202183558629,0.35210218951127586,40.009804612438856,4.467337085144057
BN,,,,1.3198967579203542,0.3831817023288561,47.0956325708889,9.79573520571004
BN,,,,1.123174629857545,0.3986343687679425,78.55072833571964,12.265606944387383
BN,,,,0.6599421136985757,0.4675472195696763,148.7651414739736,22.911492486688186
BN,,,,0.0002055674666782,0.7026218993549661,356.3159887502443,56.242590774971056
BN,TH,,,70.03909436929044,15.581319317785583,-24.777330811793064,-24.777330811793064
BN,TH,,,61.57417311648267,15.629217659647479,5.658450968579017,-23.588308335118363
BN,TH,,,56.93428635448676,15.678869814022216,10.701156498349212,-22.869440379278938
BN,TH,,,52.777863903704805,15.744764311420445,15.853657364840904,-22.155617759858124
BN,TH,,,43.98155326611519,15.963607180614222,24.878938251519592,-20.389590241205124
BN,TH,,,35.18524267418351,16.33702912808999,42.45211029932102,-18.11543358383604
BN,TH,,,28.467144017178324,16.753346447625606,61.96951560118978,-15.96151786065345
BN,TH,,,26.38893197468712,16.927298369550705,83.70268209810696,-15.139157625161285
BN,TH,,,17.592621333509857,18.067781018152075,129.65465808614653,-10.252917027283715
BN,TH,,,8.796310661245801,19.931237292166603,211.84520913867385,-3.0026198851379857
BN,TH,,,0.0,24.91463159107234,566.5323214266684,15.00185336466955
ID,,,,198.26828890678053,40.214326103612876,-19.011312243405275,-19.011312243405275
ID,,,,173.51073143766027,40.28843342774843,2.9933213011011546,-18.106505817121484
ID,,,,154.99995313829854,40.567020407654326,15.049987385754694,-17.117551447959137
ID,,,,148.72359505995118,40.703655746266605,21.769844375778092,-16.7282110314308
ID,,,,123.9363615146944,41.4781673579234,31.246391826771642,-14.903429009366702
ID,,,,99.14909140768629,42.590476664162296,44.874215734003535,-12.71301387245533
ID,,,,77.56074400126911,44.12163726537671,70.92532709378564,-10.126348041110667
ID,,,,74.3618224308128,44.39393866031271,85.12287311162729,-9.69184295980902
ID,,,,49.57454942806422,47.357213256597184,119.54822928508047,-5.279496144396359
ID,,,,24.78727480269439,52.85455927983993,221.78097860005158,2.2165868528878536
ID,,,,0.0,70.02773773732703,692.8223693078338,24.287333240791572
ID,BN,,,201.1227095506943,40.488763020437474,-18.98692776304745,-18.98692776304745
ID,BN,,,177.44129797911555,40.54987277618232,2.580494644930094,-18.14239059173493
ID,BN,,,156.44136204583577,40.85138888618669,14.357953803399077,-17.051718223191767
ID,BN,,,152.09258195409458,40.94371804080364,21.231047022196222,-16.787506904425356
ID,BN,,,126.74382333187172,41.69113785415829,29.485460195253996,-14.997989894399419
ID,BN,,,101.39506043238096,42.79636339468875,43.600768404861995,-12.816173999509761
ID,BN,,,78.22068361144417,44.41083651195886,69.66630126647148,-10.100950325488435
ID,BN,,,76.04629627648397,44.59355996651147,84.03445495415961,-9.811091559285233
ID,BN,,,50.697531065448906,47.54584917444029,116.46678579213803,-5.435223626557144
ID,BN,,,25.34876551748689,52.95191614987129,213.26746524213408,1.8895881745498748
ID,BN,,,0.0,67.11999421022789,558.9257611216896,19.941308060003283
ID,BN,TH,,233.7840368892448,54.95703489584341,-20.697549465564784,-20.697549465564784
ID,BN,TH,,232.8311626575676,54.952098515132484,-5.180516532842297,-20.67954063994627
ID,BN,TH,,212.05995689846557,55.0095651366225,2.7666483186626123,-20.10101238304295
ID,BN,TH,,201.50501629720375,55.11271625582134,9.772780643266715,-19.731077561309583
ID,BN,TH,,167.9245353406092,55.76195384304636,19.33377869317044,-18.250365449537966
ID,BN,TH,,134.33643565250733,56.95513840520876,35.52402705846033,-16.28611133290305
ID,BN,TH,,106.02941663993472,58.373653147813684,50.11176704883306,-14.303136408021349
ID,BN,TH,,100.75148080707864,58.706810706984186,63.12269980558249,-13.874383318587217
ID,BN,TH,,67.1678483267543,61.61024217574662,86.45376495420706,-10.459558663120584
ID,BN,TH,,33.58557487405815,67.70322163654158,181.43439482670854,-4.1433857159666925
ID,BN,TH,,0.0215804891821011,80.83861614249028,391.3537332692294,8.452902170061725
ID,MY,,,266.43393239222024,49.278239934044976,-17.552464213755286,-17.552464213755286
ID,MY,,,266.4324557750539,49.27837163803665,89.19305198221136,-17.552238723283807
ID,MY,,,251.86882691902443,49.285845982052564,0.5132198911273845,-17.183538031207163
ID,MY,,,209.89100538945144,49.48978188200224,4.858182071358944,-15.95893364116196
ID,MY,,,193.09039322018523,49.723638314291605,13.919518523090739,-15.309009772276072
ID,MY,,,167.91284616161172,50.24994757563062,20.903913320650343,-14.165802577217045
ID,MY,,,125.93464160218164,51.534308927700685,30.595909604750887,-11.927592560183868
ID,MY,,,96.54520408656458,53.06633070357729,52.12831225716779,-9.761000151880241
ID,MY,,,83.95642757110186,54.03490069577057,76.93916807591147,-8.52282154590484
ID,MY,,,41.978214063167,59.77011119543467,136.62350110683053,-1.9249267548577917
ID,MY,,,0.0,75.82241122653191,382.3959734671521,14.785488577347122
ID,MY,PH,,281.4856724088774,112.83241742525604,47.4764465275371,47.4764465275371
