Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,location_name
0,0.616533612,G$/GWp,262800,h,PVOUT,24,0,0.35339,GWp,SG
1,0.616533612,G$/GWp,262800,h,PVOUT,24,0,0.731177512,GWp,ID
2,0.616533612,G$/GWp,262800,h,PVOUT,24,0,2.855157829,GWp,MY
3,0.616533612,G$/GWp,262800,h,PVOUT,24,0,0.002419548,GWp,BN
4,0.616533612,G$/GWp,262800,h,PVOUT,24,0,0.902505537,GWp,KH
5,0.616533612,G$/GWp,262800,h,PVOUT,24,0,0.200922138,GWp,MM
6,0.616533612,G$/GWp,262800,h,PVOUT,24,0,3.001158667,GWp,PH
7,0.616533612,G$/GWp,262800,h,PVOUT,24,0,6.904891201,GWp,TH
8,0.616533612,G$/GWp,262800,h,PVOUT,24,0,38.16061386,GWp,VN
9,0.616533612,G$/GWp,262800,h,PVOUT,24,0,0.060192436,GWp,LA
10,0.616533612,G$/GWp,262800,h,PVOUT,24,0,5.40E+01,GWp,AU
11,0.616533612,G$/GWp,262800,h,PVOUT,24,0,3.27E-01,GWp,SA
12,0.616533612,G$/GWp,262800,h,PVOUT,24,0,1.18E+02,GWp,IN
13,0.616533612,G$/GWp,262800,h,PVOUT,24,0,6.18E+00,GWp,AE
14,0.616533612,G$/GWp,262800,h,PVOUT,24,0,0.875187868,GWp,MA
15,0.616533612,G$/GWp,262800,h,PVOUT,24,0,0.795221464,GWp,KE
16,0.616533612,G$/GWp,262800,h,PVOUT,24,0,12.58138093,GWp,ZA
17,0.616533612,G$/GWp,262800,h,PVOUT,24,0,60.07698244,GWp,KR
18,0.616533612,G$/GWp,262800,h,PVOUT,24,0,4.078286614,GWp,EG
19,0.616533612,G$/GWp,262800,h,PVOUT,24,0,0.248784369,GWp,NG
20,0.616533612,G$/GWp,262800,h,PVOUT,24,0,83.18505197,GWp,BR
21,0.616533612,G$/GWp,262800,h,PVOUT,24,0,1.501591368,GWp,CO
22,0.616533612,G$/GWp,262800,h,PVOUT,24,0,0.73746795,GWp,PE
23,0.616533612,G$/GWp,262800,h,PVOUT,24,0,18.58330382,GWp,CL
