Type,sizing_constant,sizing_constant_unit,usage_constant_1,usage_constant_1_unit,conversion_factor
0,0.01,G$/(Gg/h),7.00E-06,G$/Gg,1
1,0.006,G$/(Gg/h),8.00E-06,G$/Gg,1
2,0.012,G$/(Gg/h),6.00E-06,G$/Gg,1
3,1,G$/(Gg/h),1.00E-04,G$/Gg,1
