Type,profile_filename,set_size,set_number
0,SGP_2019_GW,24,0
1,IDN_2019_GW,24,0
2,MYS_2019_GW,24,0
3,BRN_2019_GW,24,0
4,KHM_2019_GW,24,0
5,MMR_2019_GW,24,0
6,PHL_2019_GW,24,0
7,THA_2019_GW,24,0
8,VNM_2019_GW,24,0
9,AUS_2019_GW,24,0
