HDR,ROLLING SYSTEM DEMAND
VD,20190101000000,25571
VD,20190101000500,25361
VD,20190101001000,25413
VD,20190101001500,25322
VD,20190101002000,25245
VD,20190101002500,25151
VD,20190101003000,25116
VD,20190101003500,25423
VD,20190101004000,25592
VD,20190101004500,25792
VD,20190101005000,25873
VD,20190101005500,25788
VD,20190101010000,25767
VD,20190101010500,25837
VD,20190101011000,25763
VD,20190101011500,25666
VD,20190101012000,25341
VD,20190101012500,25162
VD,20190101013000,25005
VD,20190101013500,24863
VD,20190101014000,24780
VD,20190101014500,24612
VD,20190101015000,24423
VD,20190101015500,24314
VD,20190101020000,24256
VD,20190101020500,24285
VD,20190101021000,24257
VD,20190101021500,24284
VD,20190101022000,24286
VD,20190101022500,24318
VD,20190101023000,24486
VD,20190101023500,24632
VD,20190101024000,24755
VD,20190101024500,24653
VD,20190101025000,24530
VD,20190101025500,24312
VD,20190101030000,24186
VD,20190101030500,24059
VD,20190101031000,23952
VD,20190101031500,23790
VD,20190101032000,23742
VD,20190101032500,23655
VD,20190101033000,23511
VD,20190101033500,23465
VD,20190101034000,23406
VD,20190101034500,23352
VD,20190101035000,23318
VD,20190101035500,23298
VD,20190101040000,23273
VD,20190101040500,23093
VD,20190101041000,23007
VD,20190101041500,23051
VD,20190101042000,23069
VD,20190101042500,23009
VD,20190101043000,22964
VD,20190101043500,22909
VD,20190101044000,22874
VD,20190101044500,22789
VD,20190101045000,22728
VD,20190101045500,22665
VD,20190101050000,22750
VD,20190101050500,22571
VD,20190101051000,22602
VD,20190101051500,22580
VD,20190101052000,22559
VD,20190101052500,22544
VD,20190101053000,22582
VD,20190101053500,22683
VD,20190101054000,22753
VD,20190101054500,22717
VD,20190101055000,22724
VD,20190101055500,22874
VD,20190101060000,23025
VD,20190101060500,23257
VD,20190101061000,23418
VD,20190101061500,23517
VD,20190101062000,23596
VD,20190101062500,23618
VD,20190101063000,23642
VD,20190101063500,23752
VD,20190101064000,23913
VD,20190101064500,23898
VD,20190101065000,23693
VD,20190101065500,23475
VD,20190101070000,23639
VD,20190101070500,23849
VD,20190101071000,24019
VD,20190101071500,24023
VD,20190101072000,24028
VD,20190101072500,23859
VD,20190101073000,24044
VD,20190101073500,24071
VD,20190101074000,24131
VD,20190101074500,24129
VD,20190101075000,24215
VD,20190101075500,24166
VD,20190101080000,24205
VD,20190101080500,24301
VD,20190101081000,24477
VD,20190101081500,24615
VD,20190101082000,24753
VD,20190101082500,24774
VD,20190101083000,24824
VD,20190101083500,24908
VD,20190101084000,25120
VD,20190101084500,25277
VD,20190101085000,25436
VD,20190101085500,25629
VD,20190101090000,25793
VD,20190101090500,26004
VD,20190101091000,26140
VD,20190101091500,26370
VD,20190101092000,26603
VD,20190101092500,26852
VD,20190101093000,27080
VD,20190101093500,27260
VD,20190101094000,27499
VD,20190101094500,27645
VD,20190101095000,27773
VD,20190101095500,27893
VD,20190101100000,27946
VD,20190101100500,28233
VD,20190101101000,28318
VD,20190101101500,28458
VD,20190101102000,28665
VD,20190101102500,28757
VD,20190101103000,28857
VD,20190101103500,29037
VD,20190101104000,29225
VD,20190101104500,29409
VD,20190101105000,29496
VD,20190101105500,29645
VD,20190101110000,29741
VD,20190101110500,29874
VD,20190101111000,30042
VD,20190101111500,30179
VD,20190101112000,30254
VD,20190101112500,30317
VD,20190101113000,30360
VD,20190101113500,30527
VD,20190101114000,30607
VD,20190101114500,30697
VD,20190101115000,30775
VD,20190101115500,30954
VD,20190101120000,31122
VD,20190101120500,31120
VD,20190101121000,31240
VD,20190101121500,31363
VD,20190101122000,31468
VD,20190101122500,31519
VD,20190101123000,31606
VD,20190101123500,31674
VD,20190101124000,31695
VD,20190101124500,31704
VD,20190101125000,31679
VD,20190101125500,31797
VD,20190101130000,31910
VD,20190101130500,31985
VD,20190101131000,32033
VD,20190101131500,32036
VD,20190101132000,32008
VD,20190101132500,32018
VD,20190101133000,32010
VD,20190101133500,32015
VD,20190101134000,32007
VD,20190101134500,31998
VD,20190101135000,31939
VD,20190101135500,31929
VD,20190101140000,31973
VD,20190101140500,32141
VD,20190101141000,32234
VD,20190101141500,32316
VD,20190101142000,32320
VD,20190101142500,32348
VD,20190101143000,32375
VD,20190101143500,32401
VD,20190101144000,32504
VD,20190101144500,32551
VD,20190101145000,32680
VD,20190101145500,32772
VD,20190101150000,32840
VD,20190101150500,32937
VD,20190101151000,33084
VD,20190101151500,33182
VD,20190101152000,33334
VD,20190101152500,33453
VD,20190101153000,33545
VD,20190101153500,33657
VD,20190101154000,33726
VD,20190101154500,33852
VD,20190101155000,34164
VD,20190101155500,34426
VD,20190101160000,34642
VD,20190101160500,34831
VD,20190101161000,35210
VD,20190101161500,35576
