HDR,time,demand (MW)
VD,2.02001E+13,36404
VD,2.02001E+13,36460
VD,2.02001E+13,36470
VD,2.02001E+13,36500
VD,2.02001E+13,36545
VD,2.02001E+13,36620
VD,2.02001E+13,36656
VD,2.02001E+13,36793
VD,2.02001E+13,36919
VD,2.02001E+13,37024
VD,2.02001E+13,37038
VD,2.02001E+13,37031
VD,2.02001E+13,37041
VD,2.02001E+13,36978
VD,2.02001E+13,36934
VD,2.02001E+13,36932
VD,2.02001E+13,36975
VD,2.02001E+13,37032
VD,2.02001E+13,37063
VD,2.02001E+13,36931
VD,2.02001E+13,36974
VD,2.02001E+13,36952
VD,2.02001E+13,36988
VD,2.02001E+13,36997
VD,2.02001E+13,36918
VD,2.02001E+13,36869
VD,2.02001E+13,36768
VD,2.02001E+13,36684
VD,2.02001E+13,36752
VD,2.02001E+13,36686
VD,2.02001E+13,36651
VD,2.02001E+13,36919
VD,2.02001E+13,37000
VD,2.02001E+13,37032
VD,2.02001E+13,37002
VD,2.02001E+13,36947
VD,2.02001E+13,36896
VD,2.02001E+13,37062
VD,2.02001E+13,37181
VD,2.02001E+13,37296
VD,2.02001E+13,37421
VD,2.02001E+13,37400
VD,2.02001E+13,37466
VD,2.02001E+13,37800
VD,2.02001E+13,37872
VD,2.02001E+13,37949
VD,2.02001E+13,37971
VD,2.02001E+13,37978
VD,2.02001E+13,38098
VD,2.02001E+13,38087
VD,2.02001E+13,38137
VD,2.02001E+13,38178
VD,2.02001E+13,38287
VD,2.02001E+13,38418
VD,2.02001E+13,38641
VD,2.02001E+13,39033
VD,2.02001E+13,39109
VD,2.02001E+13,39302
VD,2.02001E+13,39596
VD,2.02001E+13,39871
VD,2.02001E+13,40054
VD,2.02001E+13,40276
VD,2.02001E+13,40493
VD,2.02001E+13,40671
VD,2.02001E+13,40807
VD,2.02001E+13,40886
VD,2.02001E+13,40865
VD,2.02001E+13,41140
VD,2.02001E+13,41106
VD,2.02001E+13,41046
VD,2.02001E+13,41132
VD,2.02001E+13,41323
VD,2.02001E+13,41319
VD,2.02001E+13,41326
VD,2.02001E+13,41320
VD,2.02001E+13,41246
VD,2.02001E+13,41110
VD,2.02001E+13,40986
VD,2.02001E+13,40969
VD,2.02001E+13,40766
VD,2.02001E+13,40690
VD,2.02001E+13,40455
VD,2.02001E+13,40316
VD,2.02001E+13,40154
VD,2.02001E+13,39994
VD,2.02001E+13,39917
VD,2.02001E+13,39871
VD,2.02001E+13,39821
VD,2.02001E+13,39695
VD,2.02001E+13,39491
VD,2.02001E+13,39252
VD,2.02001E+13,39293
VD,2.02001E+13,39010
VD,2.02001E+13,38637
VD,2.02001E+13,38501
VD,2.02001E+13,38199
VD,2.02001E+13,37999
VD,2.02001E+13,37959
VD,2.02001E+13,37882
VD,2.02001E+13,37728
VD,2.02001E+13,37547
VD,2.02001E+13,37293
VD,2.02001E+13,37038
VD,2.02001E+13,36768
VD,2.02001E+13,36459
VD,2.02001E+13,36068
VD,2.02001E+13,35628
VD,2.02001E+13,35405
VD,2.02001E+13,35176
VD,2.02001E+13,34896
