,PHL,BRN,SGP,VNM,MYS,THA,LAO,KHM,IDN
windonshore,170.6562,0.2848,0.0024,208.0272,100.2662,411.8312,129.1306,106.725,665.9556
windoffshore,688.186,15.423,0.003,1162.744,597.573,534.363,,114.023,4007.685
pvrooftop,90.86142092334246,0.37245530602896104,2.764361365010293,14164.97675616702,5127.898157436197,68.09770176578438,2794.7022413268414,11.858367116854973,194.69832214628258
pvopenfield,226.29879999999997,5.02455,0.35339000000000004,2915.5330000000004,1793.4356666666667,790.7109033333334,1341.2732366666667,861.0985033333333,2586.6060699999994
