,,,capex,capex,capex,capex
year,,,2021,2030,2040,2050
region,scenario,group,,,,
KHM,high,0,2559.978653061111,1697.902863685324,1491.783441218039,1285.960971743474
KHM,high,1,2902.766708004426,1925.2566423693836,1691.5372726023227,1458.1546186358646
KHM,high,2,2931.094983688223,1944.0453382636947,1708.0450870458615,1472.3848376586438
KHM,high,3,2937.4547808090106,1948.2634663062329,1711.7511492130952,1475.5795716754917
KHM,high,4,2941.4291470680746,1950.8994601044055,1714.0671426563672,1477.5760257830736
KHM,high,5,2976.883146059674,1974.4142836913786,1734.7273495512666,1495.3857285861695
KHM,high,6,3318.5677144965407,2201.036176234477,1933.8381431912924,1667.025058129594
KHM,high,7,3650.0703553557228,2420.9049171564056,2127.0155940125064,1833.5496725700255
KHM,high,8,3832.8724704385672,2542.1482073368607,2233.5403761526627,1925.377151392118
KHM,high,9,4226.37434170265,2803.137865702096,2462.8468099929373,2123.0460062271263
KHM,low,0,1395.5281860934713,1052.501190668756,949.3391812153347,843.8353427097701
KHM,low,1,1582.393178876367,1193.4339424097377,1076.458261298848,956.8271739007652
KHM,low,2,1597.8358495150176,1205.080736359167,1086.9634825088701,966.1649081012044
KHM,low,3,1601.3027831671259,1207.6954823981869,1089.321941468992,968.2612621373038
KHM,low,4,1603.4693403486415,1209.3294902498367,1090.7957903252436,969.5713163091239
KHM,low,5,1622.7964760817586,1223.9059306070694,1103.9435055738418,981.257873676817
KHM,low,6,1809.0599222389174,1364.3849985408149,1230.6533701446863,1093.8859671028408
KHM,low,7,1989.7728662830366,1500.6779023112151,1353.5873818280363,1203.1578331884955
KHM,low,8,2089.424284770905,1575.8345617436112,1421.377482362646,1263.4141502653767
KHM,low,9,2303.9350393711425,1737.6176248716606,1567.3032086677817,1393.1225702940994
KHM,medium,0,1750.0739022036075,1414.9190536375881,1243.1528682478763,1071.6341434217231
KHM,medium,1,1984.4135238354631,1604.3805359508597,1409.614394477829,1215.1288492058297
KHM,medium,2,2003.779535309027,1620.0377825352982,1423.3709065198955,1226.9873650611116
KHM,medium,3,2008.1272727221763,1623.5528892380391,1426.45929166057,1229.6496434092194
KHM,medium,4,2010.844262044898,1625.749550737354,1428.3892861975226,1231.3133551660787
KHM,medium,5,2035.0816197619506,1645.345237068696,1445.6061252842992,1246.1547741733023
KHM,medium,6,2268.6668667684567,1834.196814262923,1611.5317867269916,1389.187548832955
KHM,medium,7,2495.2914597457393,2017.4207651045128,1772.5129958179705,1527.9580609053864
KHM,medium,8,2620.260162313785,2118.4568402948958,1861.2836476419475,1604.4809599453447
KHM,medium,9,2889.2691849247694,2335.948222353169,2052.372342595993,1769.2050056881806
