,,,lcoe,lcoe,lcoe,lcoe
year,,,2021,2030,2040,2050
region,scenario,group,,,,
KHM,high,0,0.07412716781380581,0.04916475782227515,0.04319632953063768,0.03723649985926827
KHM,high,1,0.08776564929642329,0.05821046480032592,0.05114391956807803,0.04408755499581055
KHM,high,2,0.09270726885327041,0.061487988222944184,0.054023563200607826,0.04656989205737514
KHM,high,3,0.09659503573160806,0.06406654508246332,0.05628909234691036,0.04852284446453712
KHM,high,4,0.10056850376067919,0.06670194313051056,0.05860456236182111,0.05051884736157204
KHM,high,5,0.1057933705545441,0.07016732995358949,0.061649263440223596,0.05314346877059684
KHM,high,6,0.11401802405274976,0.07562232181874434,0.06644203852204097,0.05727498111432559
KHM,high,7,0.12579856812371312,0.08343575396980683,0.07330694755266315,0.06319273354677186
KHM,high,8,0.14485765110564097,0.0960766685866287,0.08441329969479816,0.07276673403411077
KHM,high,9,0.20198479067435157,0.13396617745104333,0.11770315574529824,0.10146356391777528
KHM,low,0,0.04040914634805712,0.030476399594829635,0.027489223284745123,0.02443423658297252
KHM,low,1,0.04784392917397888,0.036083679945469516,0.03254690016351503,0.0289298337170188
KHM,low,2,0.0505377677996585,0.0381153611320259,0.03437944398506791,0.03055871965608941
KHM,low,3,0.05265711682360209,0.03971376479980683,0.03582117843883921,0.03184022842657672
KHM,low,4,0.05482318435095415,0.041347403356393565,0.03729469419679004,0.033149986518523245
KHM,low,5,0.05767143032000027,0.043495537878943245,0.03923227705831833,0.03487223809134091
KHM,low,6,0.062154958244684484,0.04687699482560401,0.04228229695142537,0.03758329714451914
KHM,low,7,0.06857691855239588,0.051720408908993896,0.046650978717278004,0.041466469932518686
KHM,low,8,0.07896664874431437,0.05955629750421478,0.05371882446323731,0.04774883787357797
KHM,low,9,0.11010852305787674,0.08304336148565213,0.0749037792043588,0.06657942434676475
KHM,medium,0,0.05067543109395076,0.04097063153496221,0.035996941291931116,0.031030416558136244
KHM,medium,1,0.05999908325795238,0.04850872068635478,0.04261993299281448,0.03673962917353109
KHM,medium,2,0.06337731432668224,0.051239990206297666,0.045019636021017495,0.03880824339208524
KHM,medium,3,0.06603510186076697,0.05338878759008893,0.0469075769771292,0.04043570373184557
KHM,medium,4,0.06875147712842801,0.05558495263100859,0.04883713532376779,0.04209903947984226
KHM,medium,5,0.07232334402954585,0.05847277498473005,0.051374386223591736,0.04428622398797978
KHM,medium,6,0.07794595007145924,0.06301860154084604,0.05536836546025955,0.04772915094205822
KHM,medium,7,0.08599946360669658,0.06952979500266959,0.06108912298838544,0.052660611303820694
KHM,medium,8,0.09902879245938809,0.08006389052090662,0.07034441644437989,0.060638945045517596
KHM,medium,9,0.1380825228282624,0.11163848125388613,0.09808596316576672,0.08455296995531178
