region,group,capacity
KHM,0,11.061
KHM,1,10.7014
KHM,2,10.6326
KHM,3,10.6224
KHM,4,10.6218
KHM,5,10.617
KHM,6,10.6168
KHM,7,10.6168
KHM,8,10.6168
KHM,9,10.6176
