,,lcoe,lcoe,lcoe,lcoe
year,,2021,2030,2040,2050
region,scenario,,,,
VNM,high,0.12736187032103746,0.05264996899261301,0.04055634879272516,0.02814468359642071
VNM,low,0.04452905223270691,0.029040686238721893,0.021619177533270743,0.014117000254934254
VNM,medium,0.05566131529088364,0.0370455664193211,0.02800596005388183,0.018873493706404485
