,,capex,capex,capex,capex
year,,2021,2030,2040,2050
region,scenario,,,,
VNM,high,1578.8288519999999,652.6701428999999,502.75277399999993,348.8927917
VNM,low,551.9999999999999,360.0,268.0,175.0
VNM,medium,689.9999999999999,459.23170690000006,347.173119,233.96340149999997
