region,group,capacity
BRN,0,0.0288
BRN,1,0.0288
BRN,2,0.028
BRN,3,0.0288
BRN,4,0.028
BRN,5,0.0288
BRN,6,0.028
BRN,7,0.0288
BRN,8,0.028
BRN,9,0.0288
