,,,capex,capex,capex,capex
year,,,2021,2030,2040,2050
region,scenario,group,,,,
BRN,high,0,3817.229673845783,2531.7731406929015,2224.424806027187,1917.5192632474775
BRN,high,1,3817.229673845783,2531.7731406929015,2224.424806027187,1917.5192632474775
BRN,high,2,4067.8250848914063,2697.980255557698,2370.454963034965,2043.4015310223897
BRN,high,3,4930.987056270753,3270.471428980882,2873.447726061756,2476.99600891375
BRN,high,4,5070.206729073879,3362.808715016879,2954.5755910660805,2546.9306021220355
BRN,high,5,5070.206729073874,3362.80871501688,2954.5755910660773,2546.9306021220336
BRN,high,6,5070.206729073879,3362.808715016879,2954.5755910660805,2546.9306021220355
BRN,high,7,5070.206729073874,3362.80871501688,2954.5755910660773,2546.9306021220336
BRN,high,8,5070.206729073879,3362.808715016879,2954.5755910660805,2546.9306021220355
BRN,high,9,5070.206729073874,3362.80871501688,2954.5755910660773,2546.9306021220336
BRN,low,0,2080.896884149562,1569.4032338801633,1415.5765278537883,1258.2578789003583
BRN,low,1,2080.896884149562,1569.4032338801633,1415.5765278537883,1258.2578789003583
BRN,low,2,2217.504648046995,1672.4322056984347,1508.5070068067762,1340.8606241647663
BRN,low,3,2688.042501471492,2027.3097752946994,1828.6008787559576,1625.3811911866173
BRN,low,4,2763.9357036367337,2084.5480929715154,1880.228922618729,1671.2716052223977
BRN,low,5,2763.9357036367333,2084.5480929715163,1880.2289226187288,1671.2716052223998
BRN,low,6,2763.9357036367337,2084.5480929715154,1880.228922618729,1671.2716052223977
BRN,low,7,2763.9357036367333,2084.5480929715163,1880.2289226187288,1671.2716052223998
BRN,low,8,2763.9357036367337,2084.5480929715154,1880.228922618729,1671.2716052223977
BRN,low,9,2763.9357036367333,2084.5480929715163,1880.2289226187288,1671.2716052223998
BRN,medium,0,2609.5663035804164,2109.8109514219377,1853.6873392005098,1597.9327198233075
BRN,medium,1,2609.5663035804164,2109.8109514219377,1853.6873392005098,1597.9327198233075
BRN,medium,2,2780.880423078415,2248.3168805313762,1975.379136762433,1702.8346096653029
BRN,medium,3,3370.962390238192,2725.392858574996,2394.5397728090575,2064.1633413432846
BRN,medium,4,3466.1369010704143,2802.3405969691303,2462.1463270101285,2122.4421690332833
BRN,medium,5,3466.136901070414,2802.3405969691285,2462.1463270101262,2122.442169033282
BRN,medium,6,3466.1369010704143,2802.3405969691303,2462.1463270101285,2122.4421690332833
BRN,medium,7,3466.136901070414,2802.3405969691285,2462.1463270101262,2122.442169033282
BRN,medium,8,3466.1369010704143,2802.3405969691303,2462.1463270101285,2122.4421690332833
BRN,medium,9,3466.136901070414,2802.3405969691285,2462.1463270101262,2122.442169033282
