region,group,capacity
LAO,0,13.1536
LAO,1,13.3108
LAO,2,12.9398
LAO,3,12.8184
LAO,4,12.8176
LAO,5,12.8184
LAO,6,12.8176
LAO,7,12.8184
LAO,8,12.8176
LAO,9,12.8184
