Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,Period,Transport_Time,Asset_Type
0,EL_Demand,0,,0,384,1,,0
1,EL_to_HTH,0,,0,384,1,,0
2,HTH_Demand,0,,0,384,1,,1
3,BESS,0,,0,384,1,,0
4,EL_to_H2,0,,0,384,1,,0
5,H2_to_EL,0,,0,384,1,,0
6,H2_Storage,0,,0,384,1,,3
7,H2_to_HTH,0,,0,384,1,,0
8,RE,1,,0,384,1,,0
9,RE,1,,0,384,1,,1
10,BESS,1,,0,384,1,,0
11,EL_to_H2,1,,0,384,1,,0
12,H2_to_EL,1,,0,384,1,,0
13,H2_Storage,1,,0,384,1,,3
14,RE,2,,0,384,1,,0
15,RE,2,,0,384,1,,1
16,BESS,2,,0,384,1,,0
17,EL_to_H2,2,,0,384,1,,0
18,H2_to_EL,2,,0,384,1,,0
19,H2_Storage,2,,0,384,1,,3
20,RE,3,,0,384,1,,0
21,RE,3,,0,384,1,,1
22,BESS,3,,0,384,1,,0
23,EL_to_H2,3,,0,384,1,,0
24,H2_to_EL,3,,0,384,1,,0
25,H2_Storage,3,,0,384,1,,3
26,EL_Transport,0,1,0,384,1,0,0
27,H2_Transport,0,1,0,384,96,96,0
28,EL_Transport,0,2,0,384,1,0,0
29,H2_Transport,0,2,0,384,96,96,0
30,EL_Transport,0,3,0,384,1,0,0
31,H2_Transport,0,3,0,384,96,96,0
32,EL_Transport,1,2,0,384,1,0,0
33,H2_Transport,1,2,0,384,96,96,0
34,EL_Transport,1,3,0,384,1,0,0
35,H2_Transport,1,3,0,384,96,96,0
36,EL_Transport,2,3,0,384,1,0,0
37,H2_Transport,2,3,0,384,96,96,0
