Type,sizing_constant,sizing_constant_unit,usage_constant_1,usage_constant_1_unit,conversion_factor,lifespan,lifespan_units,location_name
0,0.26,G$/(Gg/h),5.19E-06,G$/Gg,5.19,262800,h,SG
1,0.26,G$/(Gg/h),5.19E-06,G$/Gg,5.19,262800,h,ID
2,0.26,G$/(Gg/h),5.19E-06,G$/Gg,5.19,262800,h,MY
3,0.26,G$/(Gg/h),5.19E-06,G$/Gg,5.19,262800,h,BN
4,0.26,G$/(Gg/h),5.19E-06,G$/Gg,5.19,262800,h,KH
5,0.26,G$/(Gg/h),5.19E-06,G$/Gg,5.19,262800,h,MM
6,0.26,G$/(Gg/h),5.19E-06,G$/Gg,5.19,262800,h,PH
7,0.26,G$/(Gg/h),5.19E-06,G$/Gg,5.19,262800,h,TH
8,0.26,G$/(Gg/h),5.19E-06,G$/Gg,5.19,262800,h,VN
9,0.26,G$/(Gg/h),5.19E-06,G$/Gg,5.19,262800,h,LA
10,0.26,G$/(Gg/h),5.19E-06,G$/Gg,5.19,262800,h,AU
11,0.26,G$/(Gg/h),5.19E-06,G$/Gg,5.19,262800,h,SA
12,0.26,G$/(Gg/h),5.19E-06,G$/Gg,5.19,262800,h,IN
13,0.26,G$/(Gg/h),5.19E-06,G$/Gg,5.19,262800,h,AE
14,0.26,G$/(Gg/h),5.19E-06,G$/Gg,5.19,262800,h,MA
15,0.26,G$/(Gg/h),5.19E-06,G$/Gg,5.19,262800,h,KE
16,0.26,G$/(Gg/h),5.19E-06,G$/Gg,5.19,262800,h,ZA
17,0.26,G$/(Gg/h),5.19E-06,G$/Gg,5.19,262800,h,KR
18,0.26,G$/(Gg/h),5.19E-06,G$/Gg,5.19,262800,h,EG
19,0.26,G$/(Gg/h),5.19E-06,G$/Gg,5.19,262800,h,NG
20,0.26,G$/(Gg/h),5.19E-06,G$/Gg,5.19,262800,h,BR
21,0.26,G$/(Gg/h),5.19E-06,G$/Gg,5.19,262800,h,CO
22,0.26,G$/(Gg/h),5.19E-06,G$/Gg,5.19,262800,h,PE
23,0.26,G$/(Gg/h),5.19E-06,G$/Gg,5.19,262800,h,CL
24,0.26,G$/(Gg/h),5.19E-06,G$/Gg,5.19,262800,h,MZ
