region,group,capacity
MYS,0,74.594
MYS,1,61.899
MYS,2,58.126
MYS,3,57.709
MYS,4,57.662
MYS,5,57.525
MYS,6,57.513
MYS,7,57.516
MYS,8,57.513
MYS,9,57.516
