Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,16,16,4
1,RE_PV_Rooftop_Lim,16,16,16
2,RE_PV_Openfield_Lim,16,16,16
3,RE_WIND_Onshore_Lim,16,16,16
4,RE_WIND_Offshore_Lim,16,16,16
5,PP_CO2,16,16,16
6,BESS,16,16,16
7,EL_to_HTH,16,16,16
8,EL_to_NH3,16,16,16
9,NH3_Storage,16,16,16
10,NH3_to_EL,16,16,16
11,NH3_to_HTH,16,16,16
12,FF_to_HTH,16,16,16
13,EL_Demand,16,16,16
14,HTH_Demand,16,16,16
15,RE_PV_Rooftop_Lim,19,19,19
16,RE_PV_Openfield_Lim,19,19,19
17,RE_WIND_Onshore_Lim,19,19,19
18,RE_WIND_Offshore_Lim,19,19,19
19,PP_CO2,19,19,19
20,BESS,19,19,19
21,EL_to_HTH,19,19,19
22,EL_to_NH3,19,19,19
23,NH3_Storage,19,19,19
24,NH3_to_EL,19,19,19
25,NH3_to_HTH,19,19,19
26,FF_to_HTH,19,19,19
27,EL_Demand,19,19,19
28,HTH_Demand,19,19,19
29,NH3_Transport,16,19,0
30,EL_Transport,16,19,0
