,,group,group,group,group,lcoe,lcoe,lcoe,lcoe
year,,2021,2030,2040,2050,2021,2030,2040,2050
region,scenario,,,,,,,,
SGP,high,0,0,0,0,0.5849909265677385,0.2868713637296182,0.2689419034965171,0.2510124432634159
SGP,low,0,0,0,0,0.1572210687421463,0.15303516426420002,0.1395499184963422,0.12606432885496882
SGP,medium,0,0,0,0,0.24323173410565502,0.22055067792509525,0.2048657354390268,0.18909649328245323
