,,group,group,group,group,capex,capex,capex,capex
year,,2021,2030,2040,2050,2021,2030,2040,2050
region,scenario,,,,,,,,
SGP,high,0,0,0,0,14235.270479676328,6980.77742765102,6544.478838422831,6108.180249194642
SGP,low,0,0,0,0,3825.8447046000138,3723.984180377415,3395.831875320872,3067.67120238667
SGP,medium,0,0,0,0,5918.843125567315,5366.918377965922,4985.238272160903,4601.506803580005
