Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,Period,Transport_Time
0,EL_Demand,0,0,0,96,1,0
1,RE,0,0,0,96,1,0
2,RE,0,0,0,96,1,0
3,CG,0,0,0,96,1,0
4,EL_Demand,1,1,0,96,1,0
5,RE,1,1,0,96,1,0
6,RE,1,1,0,96,1,0
7,CG,1,1,0,96,1,0
8,EL_Demand,2,2,0,96,1,0
9,RE,2,2,0,96,1,0
10,RE,2,2,0,96,1,0
11,CG,2,2,0,96,1,0
12,EL_Demand,3,3,0,96,1,0
13,RE,3,3,0,96,1,0
14,RE,3,3,0,96,1,0
15,CG,3,3,0,96,1,0
16,EL_Transport,0,1,0,96,1,0
17,EL_Transport,0,2,0,96,1,0
18,EL_Transport,0,3,0,96,1,0
19,EL_Transport,1,2,0,96,1,0
20,EL_Transport,1,3,0,96,1,0
21,EL_Transport,2,3,0,96,1,0
