,,,capex,capex,capex,capex
year,,,2021,2030,2040,2050
region,scenario,group,,,,
VNM,high,0,7717.687783640531,3784.646083867088,3548.1057036254015,3311.5653233837184
VNM,high,1,8968.030493391729,4397.796650800172,4122.93436012516,3848.0720694501565
VNM,high,2,9418.883774918124,4618.888790591608,4330.2082411796155,4041.5276917676797
VNM,high,3,10282.845490673999,5042.563525280656,4727.403304950628,4412.243084620576
VNM,high,4,11505.412152410643,5642.093106979485,5289.462287793241,4936.83146860704
VNM,high,5,12593.169444559293,6175.514060422893,5789.544431646472,5403.574802870092
VNM,high,6,14325.34970777932,7024.951020498369,6585.891581717286,6146.8321429360785
VNM,high,7,15113.57541343011,7411.485875719963,6948.268008487445,6485.050141254957
VNM,high,8,16706.69779415408,8192.73079626576,7680.685121499165,7168.639446732591
VNM,high,9,21097.803509643163,10346.067587785077,9699.438363548621,9052.809139311968
VNM,low,0,2074.1913531571186,2018.9674131167674,1841.0588135208257,1663.145677258943
VNM,low,1,2410.2311243624986,2346.060352995304,2139.3287785987823,1932.5919325509606
VNM,low,2,2531.4016101738976,2464.004756684183,2246.880085522399,2029.7498776855257
VNM,low,3,2763.5983471393774,2690.0194127822424,2452.9786445634263,2215.931831809454
VNM,low,4,3092.1730795621397,3009.8460654801324,2744.622617578,2479.3924064828843
VNM,low,5,3384.516697619756,3294.406232695458,3004.1077387469427,2713.801842192245
VNM,low,6,3850.054229689428,3747.54914325714,3417.320326455879,3087.083088825999
VNM,low,7,4061.89629804345,3953.7510600103924,3605.352017179111,3256.944090178776
VNM,low,8,4490.060893354385,4370.516062943867,3985.392267870099,3600.258652146682
VNM,low,9,5670.206263470696,5519.240861829304,5032.893035618085,4546.532807546384
VNM,medium,0,3208.9157244109124,2909.6883308651404,2702.7594991274345,2494.7185158883967
VNM,medium,1,3728.792207459094,3381.0869795455674,3140.633604777082,2898.88789882644
VNM,medium,2,3916.2512269285116,3551.065678991059,3298.5238982845563,3044.6248165282977
VNM,medium,3,4275.47544183583,3876.7926833896877,3601.086116348324,3323.8977477142157
VNM,medium,4,4783.80299990359,4337.719329956075,4029.2329591539365,3719.088609724374
VNM,medium,5,5236.078548872733,4747.820747441163,4410.16911989524,4070.70276328835
VNM,medium,6,5956.296914785759,5400.8796480007195,5016.784312406943,4630.624633239013
VNM,medium,7,6284.031066795552,5698.05299863582,5292.823532070648,4885.416135268259
VNM,medium,8,6946.430946362176,6298.684914668813,5850.740199404789,5400.387978220072
VNM,medium,9,8772.196457096154,7954.200066115776,7388.519780145099,6819.7992113195405
