,,,lcoe,lcoe,lcoe,lcoe
year,,,2021,2030,2040,2050
region,scenario,group,,,,
VNM,high,0,0.1486535078735487,0.07289759992873751,0.06834149993319143,0.0637853999376453
VNM,high,1,0.19177438660324186,0.09404347540237051,0.08816575818972229,0.08228804097707416
VNM,high,2,0.2244062419456846,0.11004568059559959,0.10316782555837459,0.0962899705211496
VNM,high,3,0.24739788100177734,0.12132045863207011,0.1137379299675657,0.10615540130306134
VNM,high,4,0.27375364760306,0.1342449577373976,0.12585464787881026,0.11746433802022292
VNM,high,5,0.3100874264351277,0.15206253440334733,0.14255862600313815,0.1330547176029289
VNM,high,6,0.3558604974542371,0.1745090078595883,0.163602194868364,0.15269538187713977
VNM,high,7,0.3989127019779446,0.19562120646366754,0.18339488105968826,0.17116855565570907
VNM,high,8,0.4662430727075582,0.2286390780141735,0.2143491356382876,0.20005919326240176
VNM,high,9,0.6328189646170599,0.3103255642592263,0.29093021649302464,0.27153486872682303
VNM,low,0,0.0399518391118877,0.038888148452750154,0.035461378913450525,0.032034521991591555
VNM,low,1,0.05154092593543829,0.050168683688284456,0.04574788907784799,0.04132698173723139
VNM,low,2,0.060311002425477475,0.0587052628312741,0.05353223674310194,0.04835907874286101
VNM,low,3,0.06649019239298891,0.06471993605073117,0.05901690532625394,0.05331372917459962
VNM,low,4,0.07357351899582024,0.07161467387991552,0.06530408845009633,0.058993342100466375
VNM,low,5,0.0833385175282496,0.08111968593972349,0.0739715320708515,0.0668231959241891
VNM,low,6,0.0956404025975751,0.09309404165047856,0.08489072421545706,0.07668719759599395
VNM,low,7,0.10721103266979887,0.10435661153319042,0.09516085210892876,0.08596485819297345
VNM,low,8,0.1253066173432631,0.12197041351988296,0.11122255036940285,0.1004744131486128
VNM,low,9,0.17007524291211729,0.16554710475233136,0.15095932419564564,0.13637117165082802
VNM,medium,0,0.06180822446788003,0.056044684538638354,0.05205894456309882,0.04805178298738733
VNM,medium,1,0.07973733350743437,0.07230192649683204,0.06716001730206675,0.06199047260584713
VNM,medium,2,0.09330524097669349,0.0846046434978555,0.07858779975109143,0.07253861811429149
VNM,medium,3,0.10286486999582356,0.09327284902060076,0.08663954693255765,0.07997059376189944
VNM,medium,4,0.1138232601570624,0.10320938295156828,0.09586942258124577,0.08849001315069953
VNM,medium,5,0.12893037999529094,0.11690778268574795,0.10859363074184643,0.1002347938862836
VNM,medium,6,0.14796223661679722,0.13416494238770976,0.1246235098933939,0.11503079639399089
VNM,medium,7,0.16586279180115207,0.15039629310212815,0.1397005327008569,0.12894728728946017
VNM,medium,8,0.1938578975143759,0.17578089008466752,0.16327984870467088,0.15071161972291924
VNM,medium,9,0.26311801969620724,0.23858259215921046,0.22161527076441856,0.204556757476242
